Date,Open,High,Low,Close,Resultado%,Mes,Ano,No.Mes
2017-01-31,"963,66","1191,10","755,76","970,40",,1,2017,01
2017-02-28,"970,94","1200,39","946,69","1179,97","21,60",2,2017,02
2017-03-31,"1180,04","1280,31","903,71","1071,79","-9,17",3,2017,03
2017-04-30,"1071,71","1347,91","1061,09","1347,89","25,76",4,2017,04
2017-05-31,"1348,30","2763,71","1348,30","2286,41","69,63",5,2017,05
2017-06-30,"2288,33","2999,91","2212,96","2480,84","8,50",6,2017,06
2017-07-31,"2492,60","2916,14","1843,03","2875,34","15,90",7,2017,07
2017-08-31,"2871,30","4736,05","2668,59","4703,39","63,58",8,2017,08
2017-09-30,"4701,76","4975,04","2946,62","4338,71","-7,75",9,2017,09
2017-10-31,"4341,05","6470,43","4164,05","6468,40","49,09",10,2017,10
2017-11-30,"6440,97","11517,40","5519,01","10233,60","58,21",11,2017,11
2017-12-31,"10198,60","20089,00","9694,65","14156,40","38,33",12,2017,12
2018-01-31,"14112,20","17712,40","9402,29","10221,10","-27,80",1,2018,01
2018-02-28,"10237,30","11958,50","6048,26","10397,90","1,73",2,2018,02
2018-03-31,"10385,00","11704,10","6683,93","6973,53","-32,93",3,2018,03
2018-04-30,"7003,06","9745,32","6526,87","9240,55","32,51",4,2018,04
2018-05-31,"9251,47","9964,50","7090,68","7494,17","-18,90",5,2018,05
2018-06-30,"7500,70","7754,89","5826,41","6404,00","-14,55",6,2018,06
2018-07-31,"6411,68","8424,27","6136,42","7780,44","21,49",7,2018,07
2018-08-31,"7769,04","7769,04","5971,05","7037,58","-9,55",8,2018,08
2018-09-30,"7044,81","7388,43","6197,52","6625,56","-5,85",9,2018,09
2018-10-31,"6619,85","6965,06","6236,47","6317,61","-4,65",10,2018,10
2018-11-30,"6318,14","6552,16","3585,06","4017,27","-36,41",11,2018,11
2018-12-31,"4024,46","4309,38","3191,30","3742,70","-6,83",12,2018,12
2019-01-31,"3746,71","4109,02","3400,82","3457,79","-7,61",1,2019,01
2019-02-28,"3460,55","4210,64","3391,02","3854,79","11,48",2,2019,02
2019-03-31,"3853,76","4296,81","3733,75","4105,40","6,50",3,2019,03
2019-04-30,"4105,36","5642,04","4096,90","5350,73","30,33",4,2019,04
2019-05-31,"5350,91","9008,31","5347,65","8574,50","60,25",5,2019,05
2019-06-30,"8573,84","13796,49","7564,49","10817,16","26,15",6,2019,06
2019-07-31,"10796,93","13129,53","9163,13","10085,63","-6,76",7,2019,07
2019-08-31,"10077,44","12273,82","9421,63","9630,66","-4,51",8,2019,08
2019-09-30,"9630,59","10898,76","7830,76","8293,87","-13,88",9,2019,09
2019-10-31,"8299,72","10021,74","7446,99","9199,58","10,92",10,2019,10
2019-11-30,"9193,99","9505,05","6617,17","7569,63","-17,72",11,2019,11
2019-12-31,"7571,62","7743,43","6540,05","7193,60","-4,97",12,2019,12
2020-01-31,"7194,89","9553,13","6915,00","9350,53","29,98",1,2020,01
2020-02-29,"9346,36","10457,63","8492,93","8599,51","-8,03",2,2020,02
2020-03-31,"8599,76","9167,70","4106,98","6438,64","-25,13",3,2020,03
2020-04-30,"6437,32","9440,65","6202,37","8658,55","34,48",4,2020,04
2020-05-31,"8672,78","9996,74","8374,32","9461,06","9,27",5,2020,05
2020-06-30,"9463,61","10199,57","8975,53","9137,99","-3,41",6,2020,06
2020-07-31,"9145,99","11415,86","8977,02","11323,47","23,92",7,2020,07
2020-08-31,"11322,57","12359,06","11012,42","11680,82","3,16",8,2020,08
2020-09-30,"11679,32","12067,08","9916,49","10784,49","-7,67",9,2020,09
2020-10-31,"10795,25","14028,21","10416,69","13781,00","27,79",10,2020,10
2020-11-30,"13781,00","19749,26","13243,16","19625,84","42,41",11,2020,11
2020-12-31,"19633,77","29244,88","17619,53","29001,72","47,77",12,2020,12
2021-01-31,"28994,01","41946,74","28722,76","33114,36","14,18",1,2021,01
2021-02-28,"33114,58","58330,57","32384,23","45137,77","36,31",2,2021,02
2021-03-31,"45159,50","61683,86","45115,09","58918,83","30,53",3,2021,03
2021-04-30,"58926,56","64863,10","47159,48","57750,18","-1,98",4,2021,04
2021-05-31,"57714,66","59519,36","30681,50","37332,86","-35,35",5,2021,05
2021-06-30,"37293,79","41295,27","28893,62","35040,84","-6,14",6,2021,06
2021-07-31,"35035,98","42235,55","29360,96","41626,20","18,79",7,2021,07
